google.com,0.21,0.23,0.27
tetr.io,0.18,0.25,0.34
github.com,0.18,0.29,0.4
en.wikipedia.com,0.18,0.23,0.31
nsu.ru,0.25,0.27,0.31
fresh.nsuts.ru,0.16,0.18,0.25
orel-region.ru,0.13,0.2,0.29
president.gov.by,0.18,0.22,0.33
vk.com,0.18,0.25,0.4
mail.google.com,0.18,0.25,0.37
google.com,0.21,3.67,13.89
tetr.io,0.19,0.2,0.24
github.com,0.16,0.19,0.26
en.wikipedia.com,0.19,0.27,0.34
nsu.ru,0.17,0.21,0.3
fresh.nsuts.ru,0.18,0.26,0.34
orel-region.ru,0.15,0.18,0.27
president.gov.by,0.19,0.23,0.24
vk.com,0.18,0.21,0.27
mail.google.com,0.16,0.2,0.26
