Ranks,Name,Address,Current online,Maximum online,Status
16,FreshSMP,play.freshsmp.fun,683,2000,online
17,Twenture Network,org.twenture.net,159,300,online
18,SmashMC,ms.smashmc.co,330,500,online
19,Pixelmon Realms,ms.pixelmonrealms.com,233,999,online
20,Netherite,mc.netherite.gg,5775,6000,online
21,Lifesteal,org.lifesteal.rip,174,500,online
22,BendersMC,play.bendersmc.co,371,1250,online
23,PokeSaga,ms.pokesaga.org,144,1,online
24,Lord Of The Craft,mc.lotc.co,47,500,online
25,MysticMC,ms.mysticmc.co,150,300,online
26,CobbleLand,play.cobbleland.com,254,500,online
27,Simple Survival,ms.simplesurvival.gg,79,300,online
28,Faeries SMP,mc.faeriessmp.com,169,1000,online
29,Skyblock,skyblock.net,137,750,online
30,AnubisMC,play.anubismc.com,86,1,online
31,TrappedMC,trappedmc.com,122,300,online
32,BerrySMP,org.berrysmp.net,291,1000,online
33,LemonCloud,one.lemoncloud.net,231,1000,online
34,Boxpvp,play.boxpvp.net,130,420,online
35,MineHeart,org.mineheart.net,280,220,online
